t,out2
7.063,44.313
7.0745,44.304
7.0886,44.293
7.1,44.284
7.1042,44.28
7.1084,44.277
7.1136,44.275
7.1192,44.273
7.1254,44.271
7.1309,44.271
7.1309,44.271
7.1378,44.27
7.1418,44.27
7.1418,44.27
7.1479,44.269
7.1541,44.268
7.1663,44.265
7.1796,44.262
7.1964,44.256
7.2,44.254
7.2039,44.253
7.2077,44.252
7.2123,44.251
7.2173,44.251
7.2227,44.252
7.2286,44.254
7.2352,44.257
7.2426,44.261
7.251,44.266
7.2607,44.271
7.2721,44.275
7.2857,44.28
7.3,44.284
7.3042,44.285
7.3084,44.286
7.3136,44.289
7.3191,44.293
7.3253,44.298
7.328,44.3
7.328,44.3
7.3343,44.306
7.3343,44.306
7.3406,44.313
7.3469,44.32
7.3575,44.331
7.3689,44.342
7.383,44.353
7.4,44.366
7.4039,44.368
7.4039,44.368
7.4095,44.372
7.415,44.375
7.4254,44.381
7.4367,44.386
7.4505,44.391
7.4675,44.396
7.4895,44.4
7.5,44.401
7.505,44.401
7.5101,44.402
7.5142,44.404
7.5142,44.404
7.5212,44.408
7.5214,44.408
7.5214,44.408
7.5273,44.412
7.5333,44.417
7.5443,44.426
7.5561,44.434
7.5704,44.444
7.5882,44.453
7.6,44.458
7.6034,44.46
7.6069,44.461
7.6105,44.462
7.6144,44.464
7.6186,44.465
7.6231,44.466
7.628,44.468
7.6333,44.469
7.6391,44.47
7.6456,44.471
7.6529,44.472
7.6611,44.473
7.6705,44.473
7.6816,44.473
7.6947,44.472
7.7,44.471
7.7032,44.471
7.7063,44.471
7.7102,44.471
7.7142,44.472
7.7186,44.473
7.7234,44.475
7.7285,44.476
7.7342,44.477
7.7391,44.478
7.7391,44.478
7.7435,44.479
7.7435,44.479
7.748,44.48
7.7524,44.481
7.7612,44.481
7.771,44.482
7.7826,44.482
7.7966,44.48
7.8,44.48
7.8035,44.479
7.807,44.479
7.8111,44.478
7.8155,44.477
7.8202,44.476
7.8254,44.475
7.8311,44.473
7.8373,44.471
7.8443,44.469
7.8522,44.465
7.8612,44.462
7.8716,44.457
7.884,44.45
7.9,44.441
7.9035,44.439
7.907,44.437
7.9111,44.436
7.9155,44.435
7.9203,44.434
7.9255,44.434
7.9313,44.435
7.935,44.437
7.935,44.437
7.9391,44.438
7.9391,44.438
7.9432,44.44
7.9473,44.442
7.9556,44.446
7.9651,44.45
7.9763,44.454
7.9897,44.457
8,44.459
8.0044,44.46
8.0088,44.46
8.0142,44.461
8.0201,44.461
8.0266,44.461
8.0338,44.461
8.0421,44.461
8.0515,44.46
8.0626,44.458
8.0758,44.455
8.0921,44.45
8.1,44.448
8.1035,44.446
8.1071,44.446
8.1116,44.445
8.1164,44.445
8.1216,44.446
8.1273,44.448
8.1337,44.451
8.1407,44.455
8.1487,44.46
8.1579,44.465
8.1686,44.47
8.1813,44.475
8.1968,44.479
8.2,44.48
8.2039,44.481
8.2079,44.482
8.2125,44.483
8.2175,44.484
8.223,44.484
8.2274,44.485
8.2274,44.485
8.2306,44.485
8.2306,44.485
8.2338,44.485
8.237,44.485
8.2434,44.485
8.2523,44.485
8.2621,44.484
8.2738,44.482
8.2879,44.479
8.3,44.476
8.3038,44.475
8.3077,44.473
8.3124,44.472
8.3174,44.47
8.3229,44.467
8.329,44.465
8.3298,44.464
8.3298,44.464
8.3345,44.462
8.3345,44.462
8.3392,44.46
8.3439,44.458
8.3533,44.453
8.3634,44.447
8.3755,44.439
8.3901,44.429
8.4,44.422
8.4033,44.419
8.4065,44.417
8.4105,44.415
8.4148,44.414
8.4194,44.413
8.4244,44.412
8.4299,44.412
8.4359,44.412
8.4426,44.412
8.4502,44.412
8.4587,44.411
8.4686,44.41
8.4802,44.408
8.4942,44.405
8.5,44.403
8.5034,44.402
8.5068,44.401
8.511,44.401
8.5154,44.401
8.5203,44.402
8.5255,44.404
8.5313,44.407
8.5337,44.408
8.5337,44.408
8.5375,44.41
8.5375,44.41
8.5413,44.412
8.545,44.414
8.5526,44.417
8.5619,44.421
8.5726,44.425
8.5853,44.428
8.6,44.431
8.6047,44.432
8.6094,44.432
8.615,44.432
8.6205,44.433
8.6205,44.433
8.625,44.433
8.625,44.433
8.6295,44.433
8.634,44.433
8.6429,44.432
8.6528,44.431
8.6646,44.429
8.6788,44.425
8.6964,44.419
8.7,44.418
8.7008,44.418
8.7008,44.418
8.7055,44.416
8.7055,44.416
8.7101,44.416
8.7148,44.415
8.7241,44.417
8.7342,44.421
8.7463,44.428
8.7606,44.435
8.7774,44.441
8.8,44.447
8.8034,44.447
8.8069,44.449
8.8112,44.45
8.8158,44.453
8.8208,44.456
8.8263,44.461
8.8324,44.465
8.8391,44.47
8.8467,44.475
8.8553,44.48
8.8653,44.485
8.877,44.49
8.8911,44.496
8.9,44.498
8.9048,44.5
8.9096,44.501
8.9156,44.503
8.9221,44.505
8.9294,44.507
8.9377,44.508
8.9473,44.509
8.9585,44.51
8.9719,44.51
8.9884,44.508
9,44.506
9.0031,44.506
9.0063,44.505
9.0102,44.504
9.0144,44.503
9.0189,44.502
9.0238,44.5
9.0291,44.498
9.035,44.496
9.04,44.494
9.04,44.494
9.046,44.492
9.046,44.492
9.0521,44.489
9.0581,44.487
9.0684,44.481
9.0796,44.475
9.0934,44.467
9.1,44.463
9.1029,44.461
9.1058,44.459
9.1093,44.456
9.1131,44.454
9.1171,44.451
9.1214,44.447
9.126,44.444
9.131,44.44
9.1366,44.436
9.1427,44.431
9.1495,44.425
9.1571,44.418
9.1659,44.41
9.176,44.401
9.1879,44.389
9.2,44.376
9.2031,44.373
9.2061,44.371
9.2098,44.368
9.2136,44.365
9.2177,44.363
9.2222,44.361
9.227,44.359
9.2322,44.358
9.238,44.358
9.2433,44.358
9.2433,44.358
9.2482,44.359
9.2482,44.359
9.2532,44.36
9.2581,44.36
9.2678,44.361
9.2781,44.361
9.2906,44.36
9.3,44.359
9.3035,44.358
9.307,44.358
9.3112,44.357
9.3157,44.356
9.3206,44.355
9.3259,44.354
9.3317,44.352
9.3382,44.35
9.3454,44.347
9.3536,44.344
9.363,44.34
9.374,44.335
9.3871,44.328
9.4,44.32
9.4034,44.318
9.4067,44.316
9.4108,44.315
9.4151,44.314
9.4198,44.313
9.4248,44.313
9.4304,44.314
9.4365,44.316
9.439,44.317
9.439,44.317
9.4447,44.32
9.4447,44.32
9.4504,44.324
9.456,44.327
9.4662,44.333
9.4771,44.338
9.4905,44.343
9.5,44.346
9.5036,44.347
9.5073,44.348
9.5117,44.349
9.5165,44.35
9.5216,44.351
9.5273,44.352
9.5335,44.352
9.5405,44.353
9.5483,44.353
9.5573,44.353
9.5677,44.352
9.5801,44.351
9.5951,44.348
9.6,44.346
9.6055,44.345
9.611,44.345
9.6179,44.346
9.6255,44.349
9.6343,44.353
9.6444,44.361
9.6563,44.371
9.6715,44.382
9.6907,44.393
9.7,44.397
9.7036,44.399
9.7073,44.401
9.712,44.402
9.717,44.404
9.7226,44.406
9.7287,44.408
9.7291,44.408
9.7291,44.408
9.7334,44.409
9.7334,44.409
9.7377,44.41
9.742,44.411
9.7506,44.413
9.7604,44.414
9.7719,44.415
9.7859,44.414
9.8,44.413
9.8052,44.412
9.8104,44.412
9.8169,44.41
9.824,44.409
9.8321,44.407
9.8413,44.404
9.8521,44.4
9.865,44.394
9.8807,44.387
9.9,44.376
9.9047,44.373
9.9094,44.371
9.9154,44.37
9.9189,44.369
9.9189,44.369
9.9234,44.369
9.9234,44.369
9.928,44.37
9.9325,44.371
9.9416,44.373
9.9517,44.375
9.9635,44.376
9.9779,44.377
9.9957,44.376
10,44.375
10.004,44.375
10.007,44.374
10.012,44.373
10.016,44.372
10.022,44.371
10.027,44.37
10.034,44.368
10.04,44.366
10.048,44.363
10.057,44.36
10.068,44.355
10.08,44.349
10.095,44.341
10.1,44.338
10.103,44.336
10.107,44.334
10.111,44.333
10.116,44.332
10.12,44.331
10.126,44.331
10.132,44.331
10.136,44.331
10.136,44.331
10.142,44.33
10.142,44.33
10.147,44.329
10.152,44.328
10.162,44.326
10.173,44.324
10.186,44.319
10.2,44.314
10.203,44.313
10.207,44.311
10.211,44.309
10.215,44.307
10.22,44.305
10.225,44.303
10.23,44.3
10.236,44.296
10.243,44.292
10.25,44.288
10.259,44.282
10.269,44.275
10.28,44.266
10.294,44.255
10.3,44.25
10.303,44.248
10.303,44.248
10.306,44.246
10.306,44.246
10.309,44.244
10.311,44.243
10.316,44.241
10.325,44.238
10.334,44.238
10.344,44.241
10.357,44.243
10.372,44.245
10.391,44.245
10.4,44.244
10.404,44.244
10.407,44.243
10.412,44.243
10.416,44.242
10.421,44.241
10.426,44.24
10.431,44.239
10.438,44.237
10.438,44.237
10.438,44.237
10.444,44.235
10.444,44.235
10.449,44.233
10.454,44.231
10.464,44.228
10.475,44.223
10.488,44.216
10.5,44.21
10.503,44.208
10.507,44.206
10.511,44.204
10.515,44.202
10.52,44.2
10.525,44.197
10.53,44.194
10.536,44.191
10.543,44.187
10.551,44.182
10.559,44.176
10.569,44.169
10.581,44.16
10.595,44.149
10.6,44.145
10.604,44.142
10.607,44.14
10.611,44.137
10.616,44.135
10.621,44.133
10.627,44.133
10.633,44.132
10.633,44.132
10.636,44.133
10.636,44.133
10.64,44.134
10.644,44.135
10.652,44.137
10.661,44.139
10.672,44.14
10.685,44.141
10.7,44.141
10.703,44.141
10.706,44.141
10.71,44.141
10.714,44.14
10.719,44.14
10.724,44.139
10.729,44.138
10.735,44.137
10.741,44.135
10.748,44.133
10.756,44.131
10.765,44.128
10.776,44.123
10.789,44.118
10.8,44.112
10.803,44.11
10.807,44.109
10.811,44.108
10.816,44.107
10.821,44.107
10.826,44.107
10.832,44.109
10.832,44.109
10.832,44.109
