timestamp_gnss,timestamp_cam,distance,velocity_imu,velocity_cam,rtk,lat_gnss,long_gnss,lat_cam,long_cam
1762458063.0866122,1762465526.086495,0.7330208878424274,28.637304219384998,29.340000000000003,False,-22.8127001,-47.0685447,-22.8127008,-47.068551799999995
1762458063.5890825,1762465526.1462665,0.7795522357497482,27.23979696164158,29.16,False,-22.812711099999998,-47.068581599999995,-22.8127122,-47.0685891
1762458064.0917854,1762465526.2221026,1.555315431189518,24.75333595397665,27.936,False,-22.8127215,-47.068616399999996,-22.812724499999998,-47.0686312
1762458064.3405325,1762465526.2334743,0.3076503355053511,24.24908502947826,26.064,False,-22.8127265,-47.0686329,-22.8127258,-47.068635799999996
1762458064.8434517,1762465526.2971547,0.2715185940549209,20.98085697899452,23.508000000000003,False,-22.8127361,-47.068663099999995,-22.8127353,-47.068665599999996
1762458065.3316138,1762465526.360918,0.2213321012805462,19.38826658542793,19.98,False,-22.8127446,-47.0686888,-22.8127435,-47.0686906
1762458066.0982401,1762465526.459644,0.36810829922812077,19.166070255626654,18.252000000000002,False,-22.8127565,-47.068724499999995,-22.812755199999998,-47.0687278
1762458066.8421078,1762465526.558342,0.6574188927321993,21.265494857178272,18.648,False,-22.812769,-47.068760399999995,-22.812769199999998,-47.0687668
1762458067.3379712,1762465526.621089,0.7289941434993821,23.13199664847721,20.772,False,-22.8127784,-47.0687869,-22.8127785,-47.068794
1762458067.8407462,1762465526.684315,0.8231713773421278,24.56670658769232,22.932000000000002,False,-22.8127887,-47.068815799999996,-22.812789199999997,-47.0688238
1762458068.5921395,1762465526.7583015,0.3961630337423144,26.213355363905148,24.696,False,-22.812805899999997,-47.068863099999994,-22.8128025,-47.068861899999995
1762458069.095943,1762465526.8344212,0.5152245068331152,27.41421315415957,26.028000000000002,False,-22.8128183,-47.0688968,-22.8128179,-47.0689018
1762458069.5851245,1762465526.9082763,1.2799427719606178,27.901019808018084,27.144000000000002,False,-22.812831199999998,-47.068931799999994,-22.812832399999998,-47.0689442
1762458070.0868337,1762465526.9710784,1.3465799561778689,28.02718191693919,28.116,False,-22.8128443,-47.0689674,-22.8128465,-47.0689803
1762458070.8388488,1762465527.046641,0.3313059536953055,28.226520738839,28.368,False,-22.8128642,-47.069021,-22.812862199999998,-47.0690234
1762458071.3347776,1762465527.1210806,0.9871219501766816,28.354537537412593,28.548,False,-22.8128775,-47.0690569,-22.812877999999998,-47.0690665
1762458072.0916824,1762465527.1961753,0.4204154996897065,28.470493337647845,28.548,False,-22.8128973,-47.0691109,-22.8128937,-47.0691096
1762458072.5889955,1762465527.2721937,0.5834896117552539,28.464496578045367,28.512,False,-22.8129106,-47.0691469,-22.8129097,-47.0691525
1762458073.0910885,1762465527.347165,1.326390603399871,28.376378767466097,28.584000000000003,False,-22.812923899999998,-47.0691829,-22.8129261,-47.0691956
